iter	Logloss
0	0.6895617506
1	0.6840445118
2	0.6798299382
3	0.6751636806
4	0.6717028044
5	0.6676484174
6	0.6637276919
7	0.6602075301
8	0.6560326656
9	0.6529495194
10	0.6490609224
11	0.6455064405
12	0.6413778625
13	0.6375888191
14	0.6341702946
15	0.6308358689
16	0.627056106
17	0.6244387223
18	0.6209644897
19	0.6173831219
20	0.6131029817
21	0.6101496183
22	0.6073305588
23	0.6043498977
24	0.6009005282
25	0.5973028651
26	0.593807798
27	0.5891549116
28	0.5853399481
29	0.5817271101
30	0.5785976343
31	0.5754861466
32	0.5724632065
33	0.5688673115
34	0.5653953793
35	0.5624072917
36	0.55964105
37	0.5563489246
38	0.5537739503
39	0.5503806618
40	0.5479344492
41	0.5455723737
42	0.5425384931
43	0.5397636186
44	0.5374311839
45	0.5340445696
46	0.5307096375
47	0.5285566145
48	0.5263045358
49	0.5235530255
50	0.5200694396
51	0.5174092062
52	0.5147640187
53	0.5128135718
54	0.5108123682
55	0.5082535124
56	0.5065409047
57	0.5037050672
58	0.5014998052
59	0.499106166
60	0.4968317662
61	0.494250956
62	0.4913041692
63	0.4893879845
64	0.4873366106
65	0.4843329959
66	0.4819067662
67	0.4789971641
68	0.4763091117
69	0.4739814614
70	0.4720978842
71	0.4692808835
72	0.4672065427
73	0.4655247193
74	0.4633768718
75	0.4611613717
76	0.4585074178
77	0.4563107296
78	0.4544108239
79	0.4517584058
80	0.4490874319
81	0.4472840043
82	0.4460978877
83	0.4442744891
84	0.4426715886
85	0.4408197678
86	0.438902008
87	0.4370822589
88	0.4352043951
89	0.4341055881
90	0.4322935478
91	0.4304139285
92	0.4286645254
93	0.4265512262
94	0.4243609393
95	0.4228779602
96	0.4208423158
97	0.419416333
98	0.4169159815
99	0.4158768217
100	0.4135562608
101	0.4119352698
102	0.4101700308
103	0.4081703369
104	0.4064809832
105	0.4047859489
106	0.4031613649
107	0.4016805315
108	0.3998544462
109	0.3986108034
110	0.3966919055
111	0.3952811571
112	0.3933247499
113	0.3915543353
114	0.3900805871
115	0.3882586047
116	0.3866744651
117	0.3853558107
118	0.3833434252
119	0.3819365006
120	0.3806602628
121	0.3792776825
122	0.3775268532
123	0.3764427328
124	0.3751582875
125	0.3738798779
126	0.3730067113
127	0.3717810551
128	0.3704528259
129	0.3690890639
130	0.3679845532
131	0.3664776609
132	0.3646059456
133	0.3633045617
134	0.3622531385
135	0.3607300976
136	0.3597928324
137	0.3582774796
138	0.3569126641
139	0.3555603286
140	0.3545716747
141	0.3532490165
142	0.3520207929
143	0.3504962016
144	0.3491309023
145	0.3479751788
146	0.3463253916
147	0.3452457017
148	0.3445985345
149	0.3432043132
150	0.3425387413
151	0.3415576988
152	0.3403968018
153	0.338639346
154	0.3375802035
155	0.3366706072
156	0.3352041924
157	0.3340954013
158	0.3331718336
159	0.3321524452
160	0.3311852887
161	0.3295985422
162	0.3286156192
163	0.3273158719
164	0.3258655463
165	0.3248974602
166	0.3237108905
167	0.3225587244
168	0.3209698323
169	0.3201257608
170	0.3188083776
171	0.3178431059
172	0.3166173294
173	0.3158596419
174	0.314619697
175	0.3139993878
176	0.3130583332
177	0.3121410932
178	0.3113352749
179	0.3103254825
180	0.3094154361
181	0.3086468225
182	0.3078356309
183	0.3071438057
184	0.3063235277
185	0.3055103282
186	0.3048449179
187	0.3040897806
188	0.3034222589
189	0.3026753506
190	0.301751075
191	0.3006949003
192	0.2996971883
193	0.2986429516
194	0.2976064534
195	0.2968844918
196	0.2957992693
197	0.2949667149
198	0.2942883446
199	0.2937926718
200	0.2933276367
201	0.2923782683
202	0.291168558
203	0.2906870851
204	0.2896529947
205	0.2886203363
206	0.2879469084
207	0.2871219111
208	0.2864994444
209	0.285701756
210	0.2850341235
211	0.2845772268
212	0.2836839427
213	0.2827374027
214	0.2820900083
215	0.2812710496
216	0.2807131781
217	0.2797534934
218	0.2791786823
219	0.2782443001
220	0.2772226809
221	0.2765046514
222	0.2757779251
223	0.2748657208
224	0.2740185164
225	0.27347226
226	0.2726332238
227	0.272185376
228	0.2717325374
229	0.270952615
230	0.2705179683
231	0.2697137345
232	0.2692214417
233	0.2685488837
234	0.2681312511
235	0.2675282528
236	0.2669064168
237	0.2660913141
238	0.2655985266
239	0.2648170823
240	0.2640685269
241	0.2634233153
242	0.262631739
243	0.2618365925
244	0.2611622442
245	0.2604805954
246	0.2593414937
247	0.2586276541
248	0.2580148363
249	0.2575475248
250	0.2569391704
251	0.2562819902
252	0.2558507264
253	0.2552278956
254	0.2544094737
255	0.2537675945
256	0.2528649583
257	0.2520218707
258	0.2512185354
259	0.2507073427
260	0.2502057442
261	0.2496025243
262	0.2490017789
263	0.2481914786
264	0.2477469999
265	0.2470140563
266	0.2463819498
267	0.2459344737
268	0.2456713088
269	0.2450601842
270	0.2443469203
271	0.2435530205
272	0.2432299293
273	0.2427289908
274	0.2420189328
275	0.241113213
276	0.2406662158
277	0.240180054
278	0.2394488746
279	0.2388076318
280	0.2381227226
281	0.2377283385
282	0.237164943
283	0.2366836615
284	0.2361296802
285	0.235636997
286	0.2351004443
287	0.2345695517
288	0.2338901937
289	0.2335240128
290	0.2329689435
291	0.2324163577
292	0.2320289317
293	0.2315416608
294	0.2311013549
295	0.2306242764
296	0.2299237456
297	0.229494613
298	0.2289277404
299	0.2283517136
300	0.2278376726
301	0.2271221697
302	0.2268474672
303	0.2263017369
304	0.2259208546
305	0.2253240338
306	0.224764179
307	0.2242813999
308	0.223724434
309	0.2229518162
310	0.2224100352
311	0.2218953107
312	0.2215268901
313	0.2210155198
314	0.2207767391
315	0.2203435975
316	0.2200611981
317	0.2195073141
318	0.2189004429
319	0.2183927764
320	0.2179450369
321	0.2174641541
322	0.2170076575
323	0.216510728
324	0.2159560099
325	0.2155752405
326	0.2151250066
327	0.2146961948
328	0.2142991734
329	0.2139479401
330	0.2135095507
331	0.2130053925
332	0.2125590134
333	0.2120745774
334	0.2114726311
335	0.2112101044
336	0.2108281147
337	0.2104774021
338	0.210061269
339	0.20964352
