iter	Passed	Remaining
0	149	149118
1	151	75508
2	153	50968
3	155	38749
4	158	31543
5	163	27132
6	165	23520
7	167	20808
8	169	18697
9	175	17418
10	180	16184
11	182	15027
12	184	14001
13	189	13346
14	193	12714
15	196	12072
16	198	11500
17	203	11078
18	207	10706
19	209	10284
20	212	9897
21	216	9624
22	220	9358
23	222	9057
24	225	8790
25	227	8525
26	231	8350
27	235	8161
28	238	7981
29	254	8244
30	276	8629
31	279	8448
32	282	8285
33	287	8170
34	290	8013
35	293	7861
36	297	7747
37	302	7657
38	307	7579
39	361	8680
40	364	8532
41	367	8387
42	374	8335
43	379	8251
44	382	8121
45	387	8043
46	392	7962
47	398	7905
48	404	7848
49	428	8136
50	436	8118
51	439	8005
52	444	7933
53	447	7833
54	454	7806
55	457	7716
56	460	7624
57	464	7551
58	467	7463
59	471	7382
60	474	7307
61	477	7228
62	506	7527
63	509	7447
64	514	7404
65	517	7324
66	523	7287
67	526	7219
68	529	7149
69	535	7116
70	539	7062
71	541	6982
72	546	6943
73	550	6894
74	554	6840
75	561	6827
76	564	6764
77	569	6729
78	572	6672
79	577	6642
80	580	6590
81	589	6600
82	591	6536
83	597	6515
84	601	6479
85	604	6428
86	624	6555
87	628	6516
88	630	6457
89	632	6396
90	637	6367
91	639	6315
92	642	6266
93	644	6212
94	646	6160
95	649	6117
96	653	6084
97	656	6040
98	662	6024
99	665	5991
100	668	5947
101	670	5900
102	673	5862
103	676	5825
104	679	5795
105	682	5752
106	684	5716
107	689	5697
108	693	5665
109	695	5626
110	698	5590
111	701	5565
112	704	5530
113	707	5498
114	710	5464
115	712	5426
116	716	5410
117	720	5382
118	722	5352
119	725	5317
120	727	5283
121	730	5258
122	734	5238
123	736	5205
124	738	5171
125	743	5157
126	746	5133
127	749	5104
128	751	5075
129	755	5057
130	759	5035
131	761	5009
132	764	4980
133	766	4950
134	769	4928
135	773	4916
136	776	4890
137	778	4864
138	782	4847
139	786	4832
140	788	4804
141	790	4776
142	794	4759
143	797	4741
144	800	4718
145	802	4692
146	804	4667
147	809	4662
148	814	4651
149	816	4627
150	819	4608
151	826	4608
152	828	4586
153	831	4566
154	835	4552
155	838	4534
156	840	4512
157	843	4496
158	846	4475
159	848	4456
160	850	4434
161	860	4450
162	863	4434
163	865	4412
164	867	4390
165	873	4388
166	876	4373
167	878	4352
168	881	4332
169	888	4336
170	891	4319
171	892	4298
172	894	4277
173	900	4273
174	903	4260
175	906	4241
176	908	4222
177	913	4216
178	915	4199
179	918	4183
180	920	4164
181	922	4146
182	925	4133
183	929	4121
184	931	4104
185	934	4087
186	938	4078
187	940	4061
188	943	4046
189	945	4029
190	947	4012
191	951	4006
192	955	3993
193	957	3977
194	959	3962
195	962	3947
196	965	3935
197	969	3925
198	971	3910
199	976	3907
200	978	3889
201	982	3882
202	985	3868
203	987	3854
204	990	3843
205	994	3834
206	997	3819
207	999	3804
208	1003	3797
209	1005	3783
210	1008	3770
211	1010	3754
212	1012	3740
213	1015	3729
214	1019	3720
215	1021	3706
216	1023	3691
217	1027	3684
218	1029	3672
219	1032	3660
220	1045	3685
221	1047	3672
222	1049	3657
223	1051	3643
224	1057	3641
225	1060	3632
226	1063	3620
227	1065	3606
228	1070	3605
229	1075	3601
230	1077	3586
231	1079	3573
232	1084	3568
233	1087	3560
234	1090	3549
235	1092	3537
236	1099	3538
237	1103	3532
238	1105	3519
239	1107	3507
240	1113	3507
241	1117	3500
242	1119	3488
243	1121	3475
244	1127	3475
245	1131	3467
246	1133	3455
247	1135	3443
248	1141	3442
249	1144	3434
250	1146	3422
251	1149	3411
252	1153	3404
253	1155	3394
254	1158	3385
255	1160	3373
256	1163	3364
257	1167	3357
258	1170	3350
259	1173	3339
260	1175	3327
261	1180	3324
262	1182	3314
263	1185	3304
264	1187	3293
265	1189	3282
266	1194	3278
267	1197	3271
268	1200	3261
269	1202	3250
270	1204	3240
271	1207	3231
272	1211	3225
273	1213	3215
274	1215	3204
275	1219	3199
276	1222	3189
277	1226	3184
278	1228	3174
279	1232	3170
280	1236	3164
281	1239	3154
282	1241	3145
283	1247	3144
284	1252	3142
285	1255	3134
286	1257	3124
287	1260	3116
288	1264	3112
289	1267	3102
290	1268	3091
291	1273	3087
292	1291	3117
293	1295	3110
294	1297	3100
295	1299	3090
296	1305	3089
297	1308	3082
298	1310	3073
299	1312	3063
300	1319	3063
301	1323	3057
302	1325	3048
303	1327	3039
304	1333	3037
305	1336	3030
306	1338	3021
307	1340	3012
308	1343	3003
309	1346	2997
310	1349	2990
311	1351	2980
312	1353	2971
313	1356	2964
314	1359	2956
315	1361	2947
316	1364	2938
317	1368	2935
318	1370	2926
319	1373	2918
320	1375	2909
321	1378	2901
322	1382	2896
323	1385	2891
324	1388	2883
325	1391	2877
326	1394	2870
327	1398	2864
328	1400	2856
329	1404	2851
330	1407	2844
331	1410	2838
332	1412	2829
333	1414	2821
334	1418	2816
335	1420	2807
336	1424	2801
337	1427	2794
338	1429	2786
339	1434	2783
340	1437	2777
341	1440	2771
342	1442	2763
343	1447	2760
344	1450	2752
345	1452	2746
346	1455	2738
347	1457	2731
348	1461	2725
349	1465	2721
350	1467	2713
351	1469	2705
352	1474	2702
353	1478	2698
354	1481	2690
355	1483	2683
356	1486	2677
357	1489	2671
358	1492	2664
359	1493	2655
360	1496	2648
361	1499	2642
362	1502	2637
363	1505	2629
364	1506	2620
365	1508	2613
366	1511	2607
367	1515	2602
368	1517	2595
369	1520	2588
370	1524	2585
371	1528	2579
372	1530	2572
373	1532	2565
374	1534	2557
375	1538	2552
376	1541	2546
377	1543	2540
378	1549	2538
379	1552	2533
380	1555	2526
381	1557	2519
382	1562	2516
383	1564	2510
384	1567	2503
385	1569	2496
386	1571	2489
387	1575	2485
388	1579	2480
389	1581	2473
390	1584	2467
391	1588	2463
392	1591	2458
393	1593	2451
394	1595	2444
395	1601	2442
396	1604	2436
397	1607	2430
398	1609	2423
399	1611	2417
400	1614	2411
401	1617	2406
402	1620	2400
403	1622	2393
404	1626	2389
405	1628	2382
406	1632	2378
407	1634	2371
408	1638	2367
409	1641	2361
410	1645	2358
411	1648	2352
412	1650	2345
413	1653	2341
414	1658	2338
415	1660	2331
416	1662	2324
417	1667	2321
418	1671	2317
419	1673	2310
420	1675	2304
421	1677	2297
422	1680	2292
423	1684	2288
424	1686	2282
425	1688	2275
426	1693	2272
427	1697	2268
428	1699	2262
429	1702	2256
430	1704	2250
431	1708	2246
432	1712	2242
433	1714	2236
434	1717	2230
435	1720	2225
436	1722	2219
437	1725	2213
438	1727	2207
439	1730	2202
440	1733	2196
441	1735	2190
442	1737	2184
443	1742	2182
444	1746	2177
445	1748	2171
446	1750	2165
447	1755	2162
448	1758	2158
449	1760	2152
450	1763	2146
451	1765	2139
452	1779	2149
453	1786	2148
454	1792	2147
455	1800	2147
456	1803	2142
457	1808	2139
458	1810	2134
459	1834	2153
460	1839	2150
461	1841	2144
462	1843	2138
463	1847	2134
464	1849	2128
465	1852	2123
466	1855	2117
467	1862	2117
468	1866	2113
469	1868	2107
470	1870	2101
471	1876	2099
472	1880	2095
473	1882	2089
474	1885	2083
475	1890	2080
476	1893	2076
477	1896	2070
478	1898	2065
479	1902	2061
480	1906	2057
481	1909	2051
482	1911	2046
483	1914	2040
484	1917	2036
485	1921	2032
486	1923	2026
487	1925	2020
488	1930	2016
489	1932	2011
490	1935	2006
491	1937	2000
492	1939	1994
493	1944	1991
494	1947	1987
495	1950	1981
496	1952	1976
497	1957	1972
498	1960	1967
499	1963	1963
500	1965	1957
501	1968	1952
502	1970	1947
503	1975	1943
504	1977	1938
505	1980	1933
506	1983	1928
507	1987	1925
508	1990	1919
509	1992	1914
510	1996	1910
511	2001	1907
512	2003	1901
513	2005	1896
514	2010	1893
515	2014	1889
516	2016	1884
517	2019	1879
518	2023	1875
519	2028	1872
520	2030	1866
521	2032	1861
522	2037	1858
523	2041	1854
524	2044	1849
525	2046	1844
526	2050	1840
527	2054	1836
528	2056	1831
529	2058	1825
530	2061	1820
531	2065	1817
532	2068	1812
533	2070	1807
534	2073	1802
535	2076	1797
536	2079	1793
537	2081	1787
538	2084	1782
539	2087	1778
540	2090	1773
541	2092	1768
542	2094	1762
543	2100	1760
544	2103	1756
545	2105	1751
546	2108	1745
547	2113	1743
548	2116	1738
549	2119	1733
550	2121	1728
551	2123	1723
552	2126	1718
553	2130	1714
554	2132	1709
555	2135	1705
556	2138	1701
557	2142	1697
558	2144	1691
559	2146	1686
560	2152	1684
561	2155	1679
562	2157	1674
563	2159	1669
564	2163	1666
565	2166	1661
566	2169	1656
567	2171	1651
568	2174	1646
569	2177	1642
570	2181	1638
571	2184	1634
572	2186	1629
573	2191	1626
574	2194	1622
575	2197	1617
576	2199	1612
577	2204	1609
578	2207	1605
579	2210	1600
580	2213	1596
581	2217	1592
582	2219	1587
583	2224	1584
584	2226	1579
585	2231	1576
586	2234	1572
587	2236	1567
588	2238	1562
589	2241	1557
590	2244	1553
591	2248	1549
592	2251	1545
593	2253	1540
594	2256	1536
595	2261	1532
596	2263	1527
597	2265	1523
598	2270	1519
599	2274	1516
600	2276	1511
601	2278	1506
602	2282	1503
603	2286	1498
604	2288	1494
605	2290	1489
606	2293	1484
607	2297	1481
608	2300	1477
609	2303	1472
610	2305	1467
611	2310	1464
612	2313	1460
613	2315	1455
614	2317	1450
615	2322	1447
616	2325	1443
617	2328	1439
618	2330	1434
619	2333	1430
620	2336	1426
621	2338	1421
622	2341	1416
623	2346	1414
624	2350	1410
625	2352	1405
626	2354	1400
627	2359	1397
628	2362	1393
629	2365	1389
630	2368	1384
631	2373	1382
632	2377	1378
633	2380	1373
634	2382	1369
635	2386	1365
636	2389	1361
637	2392	1357
638	2394	1352
639	2398	1349
640	2401	1344
641	2404	1341
642	2406	1336
643	2409	1331
644	2412	1327
645	2416	1324
646	2418	1319
647	2420	1315
648	2425	1311
649	2428	1307
650	2431	1303
651	2433	1299
652	2436	1294
653	2439	1290
654	2442	1286
655	2445	1282
656	2447	1277
657	2450	1273
658	2454	1270
659	2456	1265
660	2459	1261
661	2462	1257
662	2465	1253
663	2467	1248
664	2469	1244
665	2474	1241
666	2478	1237
667	2482	1233
668	2485	1229
669	2487	1225
670	2490	1221
671	2494	1217
672	2496	1213
673	2500	1209
674	2503	1205
675	2506	1201
676	2509	1197
677	2511	1192
678	2513	1188
679	2515	1183
680	2519	1180
681	2523	1176
682	2525	1172
683	2527	1167
684	2533	1165
685	2537	1161
686	2540	1157
687	2542	1153
688	2546	1149
689	2549	1145
690	2551	1141
691	2555	1137
692	2559	1133
693	2561	1129
694	2563	1125
695	2568	1121
696	2572	1118
697	2574	1114
698	2577	1109
699	2579	1105
700	2582	1101
701	2585	1097
702	2587	1093
703	2590	1089
704	2596	1086
705	2599	1082
706	2602	1078
707	2604	1074
708	2607	1070
709	2611	1066
710	2614	1062
711	2616	1058
712	2620	1054
713	2625	1051
714	2627	1047
715	2629	1043
716	2633	1039
717	2636	1035
718	2638	1031
719	2646	1029
720	2650	1025
721	2653	1021
722	2659	1018
723	2664	1015
724	2666	1011
725	2669	1007
726	2674	1004
727	2678	1000
728	2680	996
729	2682	992
730	2687	989
731	2691	985
732	2694	981
733	2697	977
734	2702	974
735	2705	970
736	2708	966
737	2710	962
738	2715	958
739	2718	955
740	2721	951
741	2723	947
742	2726	943
743	2729	939
744	2734	935
745	2736	931
746	2739	927
747	2742	923
748	2746	920
749	2748	916
750	2751	912
751	2756	908
752	2760	905
753	2762	901
754	2764	897
755	2769	893
756	2772	890
757	2775	886
758	2778	882
759	2783	878
760	2786	875
761	2789	871
762	2791	867
763	2797	864
764	2801	860
765	2803	856
766	2804	852
767	2806	847
768	2811	844
769	2815	840
770	2817	836
771	2820	832
772	2825	829
773	2829	826
774	2832	822
775	2834	818
776	2839	814
777	2842	811
778	2845	807
779	2847	803
780	2852	799
781	2855	796
782	2858	792
783	2860	788
784	2863	784
785	2866	780
786	2869	776
787	2872	772
788	2874	768
789	2880	765
790	2883	761
791	2886	757
792	2888	754
793	2893	750
794	2897	747
795	2900	743
796	2902	739
797	2907	736
798	2911	732
799	2914	728
800	2916	724
801	2921	721
802	2924	717
803	2928	713
804	2930	709
805	2935	706
806	2938	702
807	2941	698
808	2943	694
809	2945	691
810	2948	687
811	2952	683
812	2954	679
813	2959	676
814	2961	672
815	2964	668
816	2966	664
817	2969	660
818	2972	656
819	2977	653
820	2979	649
821	2982	645
822	2985	642
823	2989	638
824	2991	634
825	2994	630
826	2997	627
827	3001	623
828	3003	619
829	3006	615
830	3012	612
831	3016	609
832	3019	605
833	3021	601
834	3026	597
835	3030	594
836	3032	590
837	3038	587
838	3042	583
839	3044	579
840	3047	576
841	3053	572
842	3056	569
843	3059	565
844	3061	561
845	3067	558
846	3071	554
847	3073	550
848	3075	547
849	3083	544
850	3086	540
851	3088	536
852	3093	533
853	3096	529
854	3099	525
855	3101	521
856	3104	518
857	3107	514
858	3110	510
859	3112	506
860	3115	502
861	3119	499
862	3123	495
863	3125	491
864	3128	488
865	3171	490
866	3174	486
867	3177	483
868	3182	479
869	3186	476
870	3189	472
871	3192	468
872	3195	464
873	3222	464
874	3225	460
875	3228	456
876	3230	453
877	3234	449
878	3236	445
879	3239	441
880	3241	437
881	3247	434
882	3250	430
883	3253	426
884	3255	423
885	3261	419
886	3264	415
887	3267	412
888	3269	408
889	3275	404
890	3278	401
891	3280	397
892	3283	393
893	3287	389
894	3291	386
895	3293	382
896	3295	378
897	3298	374
898	3302	371
899	3306	367
900	3308	363
901	3311	359
902	3316	356
903	3320	352
904	3322	348
905	3324	344
906	3329	341
907	3333	337
908	3335	333
909	3337	330
910	3343	326
911	3346	322
912	3349	319
913	3351	315
914	3354	311
915	3357	307
916	3362	304
917	3364	300
918	3366	296
919	3370	293
920	3374	289
921	3377	285
922	3379	281
923	3383	278
924	3387	274
925	3389	270
926	3392	267
927	3397	263
928	3400	259
929	3403	256
930	3405	252
931	3410	248
932	3414	245
933	3416	241
934	3422	237
935	3424	234
936	3427	230
937	3429	226
938	3435	223
939	3438	219
940	3440	215
941	3443	212
942	3447	208
943	3452	204
944	3454	201
945	3456	197
946	3461	193
947	3465	190
948	3468	186
949	3470	182
950	3475	179
951	3478	175
952	3480	171
953	3483	167
954	3488	164
955	3492	160
956	3494	157
957	3497	153
958	3501	149
959	3504	146
960	3506	142
961	3508	138
962	3511	134
963	3516	131
964	3520	127
965	3522	123
966	3524	120
967	3530	116
968	3534	113
969	3537	109
970	3539	105
971	3543	102
972	3546	98
973	3548	94
974	3550	91
975	3553	87
976	3559	83
977	3562	80
978	3565	76
979	3570	72
980	3574	69
981	3577	65
982	3579	61
983	3584	58
984	3588	54
985	3591	50
986	3593	47
987	3598	43
988	3601	40
989	3605	36
990	3608	32
991	3613	29
992	3619	25
993	3621	21
994	3624	18
995	3628	14
996	3632	10
997	3634	7
998	3636	3
999	3641	0
